#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	sample	pop	super_pop	gender
HG00127	-0.0111744	0.0271201	0.0115197	0.0165231	0.00185715	-0.00507774	-0.00671765	-0.0241756	-0.00587316	0.0132225	HG00127	GBR	EUR	female
HG00128	-0.0109612	0.0273472	0.0108543	0.0174893	-7.25818e-05	-0.00574995	-0.00935072	-0.0261808	-0.0068523	0.00612313	HG00128	GBR	EUR	female
HG00129	-0.0110169	0.0271676	0.0109453	0.0165425	0.00100253	-0.00751648	-0.00597339	-0.0310222	-0.00856986	0.00674637	HG00129	GBR	EUR	male
HG00130	-0.0108682	0.0269469	0.0108212	0.0177888	0.000444088	-0.00657564	-0.0107118	-0.0273018	-0.00900047	0.00335641	HG00130	GBR	EUR	female
HG00131	-0.0111288	0.0266587	0.0132587	0.0200714	0.00548298	0.0092086	0.0230543	0.0216737	0.00564329	0.018259	HG00131	GBR	EUR	male
HG00132	-0.0108373	0.0271024	0.0106576	0.0177569	-9.45497e-05	-0.00590478	-0.00795241	-0.0220653	-0.00547556	0.00852725	HG00132	GBR	EUR	female
HG00133	-0.0108985	0.0267212	0.0127641	0.0186138	0.00581578	0.00503435	0.018115	0.0162092	0.00412851	0.0243888	HG00133	GBR	EUR	female
HG00136	-0.0113026	0.0262896	0.0133522	0.0201231	0.000198234	0.011648	0.024463	0.00921241	0.0048875	-0.00292953	HG00136	GBR	EUR	male
HG00137	-0.0114287	0.0264463	0.0130318	0.0199807	0.00133754	0.0118469	0.0211292	0.0100304	0.00426081	-0.0052171	HG00137	GBR	EUR	female
HG00138	-0.0111759	0.0268891	0.0136413	0.0201373	0.00180591	0.0113211	0.0225916	0.0114931	0.00429685	-0.00954399	HG00138	GBR	EUR	male
HG00139	-0.0112614	0.0270523	0.0137986	0.0203905	-0.00286083	0.00715861	0.0190062	0.0123521	0.0032971	-0.0193584	HG00139	GBR	EUR	male
HG00140	-0.0112959	0.026481	0.0127636	0.0198798	-0.00393462	0.00805864	0.0197669	0.00399884	0.00305656	-0.0219831	HG00140	GBR	EUR	male
HG00141	-0.0112192	0.0274253	0.0113731	0.0169305	-0.00328527	-0.00771511	-0.00444816	-0.0257739	-0.00606853	-0.00353381	HG00141	GBR	EUR	male
HG00142	-0.0111095	0.0270699	0.0114447	0.0183345	-0.000738103	-0.00172224	-0.00319543	-0.0232339	4.59232e-05	0.00186354	HG00142	GBR	EUR	male
HG00143	-0.0107127	0.0273089	0.0110557	0.0178059	0.000216865	-0.00734883	-0.00487235	-0.0211151	-0.00774914	-0.00122372	HG00143	GBR	EUR	male
HG00145	-0.0113249	0.0267015	0.0133348	0.0191895	0.00574757	0.00505397	0.014499	0.0181146	0.00261793	0.0252469	HG00145	GBR	EUR	male
HG00146	-0.0113429	0.0267303	0.0140336	0.0202704	0.00310738	0.00830632	0.018504	0.0171359	0.005102	0.0194812	HG00146	GBR	EUR	female
HG00148	-0.0111099	0.0270805	0.0107249	0.0173311	-0.00285862	-0.00568317	-0.00530846	-0.0266312	-0.00863501	-0.0026953	HG00148	GBR	EUR	male
HG00149	-0.0108496	0.0274354	0.0125791	0.0180119	-0.00123664	-0.00811949	-0.0065263	-0.0265214	-0.00656165	0.00630152	HG00149	GBR	EUR	male
HG00150	-0.0110704	0.026559	0.0117679	0.0168621	0.00235618	-0.00414856	-0.000890457	-0.0218226	-0.00665081	-0.00128772	HG00150	GBR	EUR	female
HG00151	-0.011108	0.0266183	0.0112192	0.0171098	-0.00151292	-0.000642364	0.00150311	-0.0223602	-0.00259897	-0.00828539	HG00151	GBR	EUR	male
HG00154	-0.0114373	0.0272103	0.014094	0.0200701	0.0018461	0.0111652	0.0219569	0.0117598	0.00420901	-0.00352244	HG00154	GBR	EUR	female
HG00155	-0.0114817	0.0265722	0.0138867	0.0186932	0.00449552	0.00747188	0.0189809	0.0154334	0.00344701	0.0291781	HG00155	GBR	EUR	male
HG00157	-0.0110718	0.0271381	0.0141837	0.020894	0.00599478	0.00719105	0.0207186	0.0160387	0.00621204	0.0231001	HG00157	GBR	EUR	male
HG00158	-0.0110389	0.0261822	0.0142562	0.0187233	0.00545409	0.00898863	0.0218703	0.0202257	0.00533198	0.0238752	HG00158	GBR	EUR	female
HG00159	-0.0111218	0.02669	0.0138838	0.0196254	0.0053337	0.00807285	0.0188618	0.020521	0.00739014	0.0209645	HG00159	GBR	EUR	male
HG00160	-0.0113887	0.0270438	0.0137631	0.0199446	0.00439411	0.00376776	0.016339	0.0138133	0.00342696	0.025631	HG00160	GBR	EUR	male
HG00171	-0.0122762	0.0223958	0.0143683	0.0163244	0.011029	0.00657046	0.0739615	-0.053951	0.00644599	-0.00434013	HG00171	FIN	EUR	female
HG00173	-0.0120914	0.0229312	0.0132797	0.0151212	0.00907468	0.00136484	0.0565993	-0.0667389	0.0016309	-0.00817809	HG00173	FIN	EUR	female
HG00174	-0.0118029	0.024312	0.014759	0.0174389	0.00757383	0.00617886	0.0545184	-0.0355831	0.00522856	-0.00402105	HG00174	FIN	EUR	female
HG00176	-0.0117559	0.0224815	0.0138235	0.0169545	0.0127132	0.00225179	0.0635974	-0.0499427	0.00349533	0.0136145	HG00176	FIN	EUR	female
HG00177	-0.0119095	0.0217525	0.0126697	0.0149261	0.0129353	0.00177242	0.0584956	-0.065737	0.0035146	-0.00611694	HG00177	FIN	EUR	female
HG00178	-0.0119067	0.0229787	0.0124465	0.0171667	0.00777189	-0.000376017	0.0522599	-0.0578608	-0.000532806	-0.00848261	HG00178	FIN	EUR	female
HG00179	-0.0117067	0.0223642	0.0129842	0.0157199	0.00970054	0.00269958	0.0537565	-0.0605301	0.00365534	-0.00793319	HG00179	FIN	EUR	female
HG00180	-0.0119635	0.022373	0.0125155	0.0167269	0.00672969	0.00175688	0.0509335	-0.0581239	0.00264359	-0.00764619	HG00180	FIN	EUR	female
HG00181	-0.0108562	0.0232439	0.0106821	0.0165574	0.00500294	-0.00364478	0.0303121	-0.0435759	0.00115033	-0.00523033	HG00181	FIN	EUR	male
HG00182	-0.0115239	0.02212	0.0132268	0.0144459	0.00860895	0.00262153	0.0589699	-0.0629482	0.00189525	-0.0125862	HG00182	FIN	EUR	male
HG00183	-0.0117408	0.022779	0.0122165	0.016225	0.0108976	0.00383369	0.0615908	-0.0624842	0.00162655	-0.00551088	HG00183	FIN	EUR	male
HG00185	-0.0117991	0.0226673	0.0121061	0.0156128	0.00775331	-0.00047181	0.0563374	-0.0687037	0.00253949	-0.00213224	HG00185	FIN	EUR	male
HG00186	-0.011951	0.0227053	0.0138749	0.016024	0.0100932	0.00403626	0.0654376	-0.0614133	0.00354454	0.0010128	HG00186	FIN	EUR	male
HG00187	-0.0116313	0.0219991	0.0135438	0.0151344	0.0112991	0.00107716	0.0643135	-0.0679355	0.0047295	-0.00669196	HG00187	FIN	EUR	male
HG00188	-0.0117683	0.023375	0.0126324	0.0155959	0.00890093	-0.00414021	0.0460011	-0.0673399	-0.00320299	0.000428561	HG00188	FIN	EUR	male
HG00189	-0.0117352	0.0226834	0.0125272	0.0163957	0.00669702	0.000166564	0.0468762	-0.0582333	-0.00326933	-0.00261002	HG00189	FIN	EUR	male
HG00190	-0.0115423	0.0233503	0.0113986	0.0160638	0.00660971	0.00170617	0.0445052	-0.0571624	-0.000702943	-0.00585123	HG00190	FIN	EUR	male
HG00231	-0.0109558	0.0265974	0.0116958	0.0168481	-0.000762388	-0.00133274	-0.00254268	-0.0147456	-0.0023386	-0.0126346	HG00231	GBR	EUR	female
HG00232	-0.0112822	0.0270706	0.0129887	0.0181297	0.00107437	0.0106589	0.0196395	0.0105753	0.00377415	-0.00555515	HG00232	GBR	EUR	female
HG00233	-0.0109704	0.0269746	0.0110675	0.0166878	0.00196184	-0.00704517	-0.0109108	-0.0244095	-0.00939276	0.0113008	HG00233	GBR	EUR	female
HG00234	-0.011113	0.0270292	0.0107472	0.0173209	0.00125036	-0.00625116	-0.0120375	-0.0316239	-0.00993177	0.0126177	HG00234	GBR	EUR	male
HG00235	-0.0109135	0.0273426	0.0110815	0.0169081	0.00214207	-0.00689614	-0.01214	-0.0318745	-0.00909667	0.0140864	HG00235	GBR	EUR	female
HG00236	-0.0108587	0.0267874	0.0135684	0.0198202	-0.00201438	0.0108111	0.021638	0.0143216	0.00271092	-0.0137997	HG00236	GBR	EUR	female
HG00237	-0.0109829	0.0265104	0.0123038	0.02019	-0.0040378	0.0129108	0.0226507	0.013834	0.00271868	-0.0104773	HG00237	GBR	EUR	female
HG00238	-0.0110635	0.026899	0.0108141	0.0168757	-0.0019646	-0.00567544	-0.00486829	-0.0236596	-0.00478778	0.00959859	HG00238	GBR	EUR	female
HG00239	-0.0106273	0.0272783	0.0124109	0.0189887	0.00515863	-0.0025307	0.00984166	-0.00116327	-0.00261464	0.0220884	HG00239	GBR	EUR	female
HG00240	-0.011093	0.0274818	0.0107904	0.0165955	-0.0014258	-0.0070752	-0.00644539	-0.0266397	-0.00584707	0.0114474	HG00240	GBR	EUR	female
HG00242	-0.0109784	0.0267679	0.0133687	0.0179992	0.00557462	0.0051686	0.0127798	0.0102182	0.00445011	0.0185454	HG00242	GBR	EUR	male
HG00243	-0.0110574	0.0272686	0.0128583	0.0177844	0.00569767	0.00206982	0.0124227	0.010819	-0.000472394	0.01794	HG00243	GBR	EUR	male
HG00244	-0.0110535	0.026717	0.0125266	0.019064	0.00330606	0.000929301	0.00925918	0.0127077	0.00148845	0.0201142	HG00244	GBR	EUR	male
HG00245	-0.0108926	0.0267055	0.0129219	0.0194623	0.00647024	0.00528154	0.018586	0.0185099	0.00595639	0.024459	HG00245	GBR	EUR	female
HG00246	-0.0111328	0.0266434	0.0126488	0.0185817	-0.00123144	0.010244	0.0155112	0.00972503	0.0024753	-0.0064359	HG00246	GBR	EUR	male
HG00250	-0.0112467	0.0267645	0.0124736	0.0190385	-0.00236281	0.00933175	0.0149083	0.00212198	0.00162125	-0.0214072	HG00250	GBR	EUR	female
HG00251	-0.011151	0.0267417	0.0122183	0.0182979	-0.00356673	0.00808305	0.0132399	0.00759977	0.00130732	-0.0207902	HG00251	GBR	EUR	male
HG00252	-0.0112726	0.0265252	0.0128414	0.0196899	-0.00388475	0.0104489	0.0201301	0.00771588	0.00176147	-0.0210212	HG00252	GBR	EUR	male
HG00253	-0.0111433	0.0269347	0.0127107	0.0201748	-0.00407896	0.00969692	0.0176049	0.0121387	0.00227231	-0.0179202	HG00253	GBR	EUR	female
HG00254	-0.0111699	0.0266032	0.0125354	0.0189893	-0.00534295	0.0134893	0.0199292	0.0136136	0.00521714	-0.0102755	HG00254	GBR	EUR	female
HG00255	-0.0109411	0.0268877	0.0126533	0.0175827	0.00425124	0.000763416	0.00529652	0.00029126	0.00223173	0.0266598	HG00255	GBR	EUR	female
HG00256	-0.0112293	0.0267952	0.0128118	0.0208131	-0.00297201	0.00999991	0.0254811	0.0124708	0.00439437	-0.0142916	HG00256	GBR	EUR	male
HG00257	-0.0111592	0.0267471	0.0122517	0.0196112	-0.0046358	0.0111321	0.0219124	0.0122939	0.00312218	-0.0203728	HG00257	GBR	EUR	female
HG00258	-0.0112026	0.0268441	0.0143241	0.0207611	0.00605817	0.00762545	0.0212554	0.0193421	0.00461898	0.0159057	HG00258	GBR	EUR	female
HG00259	-0.0111437	0.0265332	0.0130068	0.0195681	-0.00637536	0.0127641	0.0192525	0.00943426	0.00081344	-0.021859	HG00259	GBR	EUR	female
HG00260	-0.0110559	0.0268775	0.0132782	0.019284	-0.00305557	0.00988726	0.0192437	0.00318256	0.00206371	-0.0200084	HG00260	GBR	EUR	male
HG00261	-0.0113008	0.0265892	0.0127022	0.0201661	-0.00476919	0.00951681	0.0145012	0.0106434	0.0027089	-0.0194162	HG00261	GBR	EUR	female
HG00262	-0.0113776	0.0271256	0.0133939	0.0191152	0.00792617	0.00792208	0.0198989	0.022528	0.00561932	0.0291749	HG00262	GBR	EUR	female
HG00263	-0.011246	0.0268778	0.0130061	0.019072	-0.00141805	0.0101883	0.0196363	0.0141398	0.00191993	-0.00708049	HG00263	GBR	EUR	female
HG00264	-0.0110364	0.0263179	0.0137989	0.0182542	0.00676392	0.0014061	0.0128405	0.0165869	-0.000762248	0.035266	HG00264	GBR	EUR	male
HG00265	-0.0111361	0.0274932	0.0123127	0.0190542	0.00280802	0.00372759	0.0157943	0.00632907	0.000298623	0.0183071	HG00265	GBR	EUR	male
HG00266	-0.0114665	0.0227435	0.0124034	0.0162737	0.00967007	0.00153564	0.0543649	-0.0637232	0.00449581	-0.000511029	HG00266	FIN	EUR	female
HG00267	-0.0117768	0.0227966	0.0121268	0.0166109	0.0109271	-0.00185063	0.0565902	-0.0716527	0.00171336	-0.000825942	HG00267	FIN	EUR	male
HG00268	-0.0117972	0.023263	0.0138741	0.0188006	0.00401144	0.0191048	0.070967	-0.0265157	0.00546103	-0.0145272	HG00268	FIN	EUR	female
HG00269	-0.0116932	0.0229148	0.0123894	0.0154466	0.0106643	0.00359123	0.0621221	-0.0692744	0.00445066	-0.010459	HG00269	FIN	EUR	female
HG00271	-0.0119957	0.0215572	0.0135884	0.0178826	0.00857541	0.0169687	0.089928	-0.0448535	0.00839093	-0.0178879	HG00271	FIN	EUR	male
HG00272	-0.0121338	0.0212622	0.013537	0.0167111	0.0144012	0.0103884	0.078246	-0.0421885	0.0106698	0.0145124	HG00272	FIN	EUR	female
HG00273	-0.0117146	0.0228761	0.0138891	0.0178207	0.00462352	0.0115408	0.0653837	-0.0317943	0.00352843	-0.0176378	HG00273	FIN	EUR	male
HG00274	-0.0119796	0.0233068	0.0150631	0.0181646	0.0104076	0.010911	0.0707801	-0.0324405	0.00799986	0.000671546	HG00274	FIN	EUR	female
HG00275	-0.0118792	0.0232094	0.0141094	0.0182414	0.00543874	0.0165709	0.0691772	-0.0236574	0.00877975	-0.00734274	HG00275	FIN	EUR	female
HG00276	-0.011688	0.0224118	0.0146285	0.0174982	0.00978633	0.0152267	0.0767212	-0.0350634	0.00965184	-0.00886979	HG00276	FIN	EUR	female
HG00277	-0.0119401	0.023638	0.0134306	0.0176761	0.00576054	0.0138524	0.0604403	-0.0211764	0.00788864	-0.00318107	HG00277	FIN	EUR	male
HG00278	-0.0119348	0.0227017	0.0139949	0.0165483	0.00962893	0.017361	0.0801336	-0.036671	0.0104379	-0.00330938	HG00278	FIN	EUR	male
HG00280	-0.0121247	0.0228207	0.0146132	0.0185751	0.011337	0.0143594	0.0802093	-0.0365085	0.0101586	-0.00434535	HG00280	FIN	EUR	male
HG00281	-0.0120228	0.0226255	0.0145534	0.0171797	0.00940135	0.0146339	0.077433	-0.0279421	0.0081078	-0.000140483	HG00281	FIN	EUR	female
HG00282	-0.0119021	0.0223297	0.0138293	0.0183754	0.0123493	0.014139	0.078411	-0.0320412	0.0105874	-0.00104194	HG00282	FIN	EUR	female
HG00284	-0.0120993	0.0224743	0.0142482	0.0180271	0.0108322	0.0136539	0.075428	-0.029974	0.0112167	-0.00183298	HG00284	FIN	EUR	male
HG00285	-0.0121739	0.0219834	0.0139619	0.0175714	0.0104319	0.0169797	0.0878786	-0.037916	0.0112903	0.0011241	HG00285	FIN	EUR	female
HG00288	-0.0117877	0.0232922	0.00979585	0.0132956	0.000956534	-0.0108751	0.0598783	-0.0783696	-0.00144973	-0.016343	HG00288	FIN	EUR	female
HG00290	-0.0117047	0.0224971	0.00968351	0.013642	-0.000647106	-0.00999977	0.0595619	-0.0791877	-0.000751936	-0.0182141	HG00290	FIN	EUR	male
HG00304	-0.0114873	0.0230148	0.0105079	0.0136386	0.00501586	-0.00864259	0.0566721	-0.0874673	-0.00455658	-0.00264413	HG00304	FIN	EUR	female
HG00306	-0.0119285	0.0244824	0.0130148	0.0169253	0.0108935	0.00608785	0.0550939	-0.0310778	0.00328975	0.0181093	HG00306	FIN	EUR	female
HG00308	-0.0118008	0.0223333	0.0137694	0.0173477	0.011593	0.00777628	0.0640016	-0.037381	0.00448014	0.0197088	HG00308	FIN	EUR	male
HG00309	-0.0116269	0.0225443	0.0142823	0.0174809	0.00639461	0.0135053	0.0702363	-0.038716	0.0065048	-0.0189657	HG00309	FIN	EUR	female
HG00310	-0.0118233	0.0235494	0.0145085	0.0187138	0.00647436	0.0159267	0.0688075	-0.0265066	0.00756937	-0.00664353	HG00310	FIN	EUR	male
HG00311	-0.0120274	0.0245808	0.0137959	0.0183983	0.0116394	0.00589475	0.0505763	-0.0271117	0.00584704	0.0169486	HG00311	FIN	EUR	male
HG00313	-0.0119797	0.0222066	0.0145775	0.0175712	0.00988385	0.0126426	0.0793981	-0.0367177	0.00895316	-0.00725729	HG00313	FIN	EUR	female
HG00315	-0.0121081	0.022539	0.0145925	0.0165633	0.00946558	0.0150025	0.0742069	-0.0317468	0.00861597	-0.0054345	HG00315	FIN	EUR	female
HG00318	-0.0118295	0.0235229	0.0134968	0.0176396	0.00880358	0.0149086	0.0739753	-0.0296365	0.00825328	-0.00254293	HG00318	FIN	EUR	female
HG00319	-0.0120482	0.0225529	0.0140536	0.0176699	0.0122555	0.0160661	0.0772835	-0.0406483	0.00847318	-0.00259188	HG00319	FIN	EUR	female
HG00320	-0.0120242	0.0227963	0.0143358	0.0178176	0.008129	0.0140184	0.0693237	-0.0282772	0.00936392	-0.00380572	HG00320	FIN	EUR	female
HG00321	-0.0121475	0.0221267	0.0141761	0.0174588	0.00762846	0.011772	0.0746677	-0.0385096	0.0098353	-0.00230463	HG00321	FIN	EUR	male
HG00323	-0.0121054	0.0217225	0.0141588	0.0184704	0.00982063	0.0151145	0.0843186	-0.0444975	0.00803837	-0.00165916	HG00323	FIN	EUR	female
HG00324	-0.011844	0.0224187	0.0151968	0.0170317	0.00931097	0.0172673	0.0896452	-0.0409225	0.0136391	-0.00940243	HG00324	FIN	EUR	female
HG00325	-0.0124096	0.0213643	0.0152557	0.0172202	0.0108226	0.0148732	0.0842501	-0.0477394	0.00954798	0.0035898	HG00325	FIN	EUR	male
HG00326	-0.0118754	0.0228678	0.0147424	0.0183027	0.0106028	0.0141749	0.0781631	-0.0335348	0.0107771	-0.000746232	HG00326	FIN	EUR	female
HG00327	-0.0119068	0.0226939	0.0139188	0.0177741	0.00838402	0.014763	0.0787022	-0.0332273	0.0101744	0.00326643	HG00327	FIN	EUR	female
HG00328	-0.0122898	0.0228901	0.015657	0.0179507	0.00776412	0.0165268	0.0797348	-0.0311648	0.00878057	-0.00663148	HG00328	FIN	EUR	female
HG00329	-0.0117045	0.0230393	0.0135392	0.017623	0.00897128	0.0119136	0.0663499	-0.0225992	0.00659058	-0.00356172	HG00329	FIN	EUR	male
HG00330	-0.011886	0.0228195	0.0141021	0.0177017	0.00923778	0.0143141	0.0713805	-0.0281065	0.0117029	-0.00456836	HG00330	FIN	EUR	female
HG00331	-0.0118693	0.0225296	0.0138182	0.0181386	0.00855742	0.0141072	0.0708448	-0.0215974	0.010138	-0.00566091	HG00331	FIN	EUR	female
HG00332	-0.0117756	0.0230477	0.0129238	0.0163795	0.00443099	0.01283	0.0617306	-0.0360023	0.00541124	-0.023063	HG00332	FIN	EUR	female
HG00334	-0.0118129	0.0240248	0.0145003	0.0185739	0.00586096	0.0152761	0.0713027	-0.0246386	0.0107724	-0.00784024	HG00334	FIN	EUR	female
HG00335	-0.0118876	0.0230543	0.0139065	0.0184812	0.00561836	0.0143279	0.0720603	-0.03833	0.00772034	-0.0208469	HG00335	FIN	EUR	male
HG00336	-0.0120989	0.0221598	0.0137892	0.0183425	0.0113609	0.0132436	0.0732581	-0.0365675	0.00864627	-0.002418	HG00336	FIN	EUR	male
HG00337	-0.0117759	0.0236672	0.0142972	0.0177425	0.00348945	0.0127121	0.064636	-0.0300469	0.00729107	-0.0159956	HG00337	FIN	EUR	female
HG00338	-0.011722	0.0227479	0.0139302	0.0183953	0.0111493	0.0158816	0.0798506	-0.0332512	0.0105182	-0.000368015	HG00338	FIN	EUR	male
HG00339	-0.0119374	0.0225254	0.0135102	0.0186377	0.00797892	0.0145785	0.0739206	-0.0249924	0.00879579	0.00563242	HG00339	FIN	EUR	female
HG00341	-0.0111199	0.0229015	0.0119763	0.0172515	0.00214142	0.0120009	0.0502019	-0.0145758	0.00886529	-0.0195867	HG00341	FIN	EUR	male
HG00342	-0.0122989	0.0225693	0.0145732	0.0179705	0.0104353	0.0170047	0.0851003	-0.0334356	0.010755	-0.00668775	HG00342	FIN	EUR	male
HG00343	-0.0118914	0.0226712	0.0146438	0.0180028	0.0107441	0.0158776	0.0787156	-0.034535	0.0111869	-0.00616149	HG00343	FIN	EUR	female
HG00344	-0.0117981	0.0248686	0.0132541	0.0183029	0.00756162	0.0146933	0.0511006	-0.0150992	0.00720223	-0.00708664	HG00344	FIN	EUR	female
HG00345	-0.0119004	0.0226047	0.0142216	0.018028	0.00336932	0.0145613	0.0746976	-0.0364889	0.0106312	-0.0172686	HG00345	FIN	EUR	male
HG00346	-0.0117124	0.0233107	0.014287	0.0185331	0.00267035	0.0147137	0.0678929	-0.0311428	0.00597068	-0.0152055	HG00346	FIN	EUR	female
HG00349	-0.0116717	0.0229312	0.01171	0.0156229	0.0104814	-0.00491632	0.0490785	-0.079197	-0.00345303	0.0113566	HG00349	FIN	EUR	female
HG00350	-0.0111898	0.0247248	0.0123692	0.0165467	0.0071959	-0.0057076	0.0201861	-0.0602668	-0.00655868	0.0133382	HG00350	FIN	EUR	female
HG00351	-0.0117436	0.0231952	0.0126992	0.0156436	0.0113247	-0.00446765	0.0431223	-0.0782544	-0.00449017	0.0128643	HG00351	FIN	EUR	male
HG00353	-0.0121275	0.0222929	0.0138574	0.0180758	0.00170368	0.0146401	0.0717789	-0.0369757	0.011553	-0.0196528	HG00353	FIN	EUR	female
HG00355	-0.0116772	0.0237009	0.0126261	0.0153451	0.0111286	-0.00483518	0.0324092	-0.0683602	-0.00797904	0.0132499	HG00355	FIN	EUR	female
HG00356	-0.011628	0.0232795	0.0124174	0.0148997	0.00845718	-0.00354168	0.0412342	-0.071652	-0.00313969	0.00810601	HG00356	FIN	EUR	female
HG00357	-0.0119756	0.0237444	0.0140113	0.0182031	0.0138283	0.00596402	0.0666905	-0.0322356	0.00833066	0.0183325	HG00357	FIN	EUR	female
HG00358	-0.0118374	0.0221701	0.0135537	0.0138638	0.0107542	-0.00251459	0.0581476	-0.0935129	-0.00405759	0.00885235	HG00358	FIN	EUR	male
HG00360	-0.0115483	0.0243373	0.011293	0.0154336	0.00692135	-0.00402222	0.0387944	-0.0701129	-0.00357057	0.0107435	HG00360	FIN	EUR	male
HG00361	-0.0121021	0.0218335	0.0131382	0.0157726	0.0161504	0.00772432	0.0863862	-0.0514333	0.0114396	0.0086064	HG00361	FIN	EUR	female
HG00362	-0.0117659	0.0234506	0.0117155	0.0145434	0.00814457	-0.00335442	0.0424275	-0.0710223	-0.00143537	0.0075928	HG00362	FIN	EUR	female
