#IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	Beta_AVG	Beta_SUM	sample	pop	super_pop	gender	PRS_Z
HG00158	7300	3350	-0.00872489	-63.6917	HG00158	GBR	EUR	female	-0.0962928208689343
HG00159	7300	3222	-0.00856427	-62.5192	HG00159	GBR	EUR	male	0.7228586112564609
HG00160	7300	3220	-0.0090513	-66.0745	HG00160	GBR	EUR	male	-1.7610041492001882
HG00171	7300	3286	-0.00867175	-63.3038	HG00171	FIN	EUR	female	0.1747083224329307
HG00173	7300	3249	-0.00841145	-61.4036	HG00173	FIN	EUR	female	1.5022576199379891
HG00174	7300	3309	-0.00878705	-64.1455	HG00174	FIN	EUR	female	-0.4133341171576383
HG00176	7300	3266	-0.00867122	-63.2999	HG00176	FIN	EUR	female	0.17743300523488406
HG00177	7300	3255	-0.00839216	-61.2628	HG00177	FIN	EUR	female	1.6006256554546243
HG00178	7300	3235	-0.00890963	-65.0403	HG00178	FIN	EUR	female	-1.0384741610517167
HG00179	7300	3206	-0.00886641	-64.7248	HG00179	FIN	EUR	female	-0.8180543087399365
HG00180	7300	3372	-0.00873258	-63.7478	HG00180	FIN	EUR	female	-0.13548633502009444
HG00181	7300	3237	-0.00881715	-64.3652	HG00181	FIN	EUR	male	-0.5668245816676186
HG00182	7300	3224	-0.00889549	-64.9371	HG00182	FIN	EUR	male	-0.9663748622923635
HG00183	7300	3268	-0.00894322	-65.2855	HG00183	FIN	EUR	male	-1.2097798592667655
HG00185	7300	3245	-0.00892733	-65.1695	HG00185	FIN	EUR	male	-1.1287380118240826
HG00186	7300	3262	-0.00855384	-62.443	HG00186	FIN	EUR	male	0.7760947213869132
HG00187	7300	3337	-0.00863096	-63.006	HG00187	FIN	EUR	male	0.3827623066435445
HG00188	7300	3252	-0.00849127	-61.9863	HG00188	FIN	EUR	male	1.095162063861682
HG00189	7300	3285	-0.0089254	-65.1554	HG00189	FIN	EUR	male	-1.1188872355401018
HG00190	7300	3274	-0.00851293	-62.1444	HG00190	FIN	EUR	male	0.9847076148902337
HG00231	7300	3235	-0.00882614	-64.4308	HG00231	GBR	EUR	female	-0.6126551436696901
HG00232	7300	3291	-0.00891347	-65.0683	HG00232	GBR	EUR	female	-1.0580359862964963
HG00233	7300	3245	-0.00872119	-63.6647	HG00233	GBR	EUR	female	-0.07742963224003818
HG00234	7300	3180	-0.00883563	-64.5001	HG00234	GBR	EUR	male	-0.6610706611505333
HG00235	7300	3249	-0.00859522	-62.7451	HG00235	GBR	EUR	female	0.5650365997279925
HG00236	7300	3291	-0.00906259	-66.1569	HG00236	GBR	EUR	female	-1.8185718063491236
HG00237	7300	3242	-0.00844752	-61.6669	HG00237	GBR	EUR	female	1.3183065989754157
HG00238	7300	3268	-0.00841553	-61.4334	HG00238	GBR	EUR	female	1.4814382487846092
HG00239	7300	3287	-0.00868774	-63.4205	HG00239	GBR	EUR	female	0.09317742935913186
HG00240	7300	3278	-0.00864734	-63.1256	HG00240	GBR	EUR	female	0.29920536738367587
HG00242	7300	3327	-0.00876597	-63.9916	HG00242	GBR	EUR	male	-0.30581394197290607
HG00243	7300	3291	-0.00891097	-65.0501	HG00243	GBR	EUR	male	-1.0453207998873906
HG00244	7300	3230	-0.00857604	-62.6051	HG00244	GBR	EUR	male	0.6628457259519207
HG00245	7300	3243	-0.00859711	-62.7589	HG00245	GBR	EUR	female	0.5553954144287794
HG00246	7300	3298	-0.00883982	-64.5307	HG00246	GBR	EUR	male	-0.6824489415966152
HG00250	7300	3181	-0.00872692	-63.7065	HG00250	GBR	EUR	female	-0.10663264278403596
HG00251	7300	3243	-0.00852263	-62.2152	HG00251	GBR	EUR	male	0.9352441424855579
HG00252	7300	3244	-0.00903516	-65.9567	HG00252	GBR	EUR	male	-1.67870475584891
HG00253	7300	3276	-0.00868526	-63.4024	HG00253	GBR	EUR	female	0.10582275210665178
HG00254	7300	3258	-0.00881821	-64.3729	HG00254	GBR	EUR	female	-0.5722040836099346
HG00255	7300	3264	-0.0086433	-63.0961	HG00255	GBR	EUR	female	0.31981514755228835
HG00256	7300	3261	-0.00875895	-63.9403	HG00256	GBR	EUR	male	-0.269973883577997
HG00257	7300	3259	-0.00886988	-64.7501	HG00257	GBR	EUR	female	-0.835729815121833
HG00258	7300	3261	-0.00882427	-64.4172	HG00258	GBR	EUR	female	-0.6031536856936438
HG00259	7300	3272	-0.00877849	-64.083	HG00259	GBR	EUR	female	-0.3696693286648134
HG00260	7300	3361	-0.00857625	-62.6066	HG00260	GBR	EUR	male	0.6617977710280929
HG00261	7300	3243	-0.00887605	-64.7952	HG00261	GBR	EUR	female	-0.867238326498249
HG00262	7300	3302	-0.00846842	-61.8195	HG00262	GBR	EUR	female	1.2116946513913345
HG00263	7300	3262	-0.00881316	-64.3361	HG00263	GBR	EUR	female	-0.5464942561453596
HG00264	7300	3223	-0.00852126	-62.2052	HG00264	GBR	EUR	male	0.9422305086444134
HG00265	7300	3287	-0.0086489	-63.137	HG00265	GBR	EUR	male	0.2912409099625833
HG00266	7300	3250	-0.00838674	-61.2232	HG00266	FIN	EUR	female	1.628291665443678
HG00267	7300	3289	-0.0084659	-61.8011	HG00267	FIN	EUR	male	1.224549565123622
HG00268	7300	3261	-0.00899195	-65.6412	HG00268	FIN	EUR	female	-1.4582849035371297
HG00269	7300	3275	-0.00881585	-64.3557	HG00269	FIN	EUR	female	-0.5601875338167074
HG00271	7300	3283	-0.00841314	-61.4159	HG00271	FIN	EUR	male	1.493664389562599
HG00272	7300	3282	-0.00907123	-66.22	HG00272	FIN	EUR	female	-1.8626557768114835
HG00273	7300	3259	-0.00873682	-63.7788	HG00273	FIN	EUR	male	-0.15714407011253478
HG00274	7300	3304	-0.00835227	-60.9716	HG00274	FIN	EUR	female	1.8040686380003916
HG00275	7300	3281	-0.00878041	-64.097	HG00275	FIN	EUR	female	-0.3794502412872032
HG00276	7300	3274	-0.00868711	-63.4159	HG00276	FIN	EUR	female	0.09639115779220124
HG00277	7300	3288	-0.00907205	-66.226	HG00277	FIN	EUR	male	-1.866847596506795
HG00278	7300	3309	-0.00887537	-64.7902	HG00278	FIN	EUR	male	-0.8637451434188261
HG00280	7300	3328	-0.00870007	-63.5105	HG00280	FIN	EUR	male	0.030300133929461574
HG00281	7300	3221	-0.0087176	-63.6385	HG00281	FIN	EUR	female	-0.05912535290384396
HG00282	7300	3267	-0.0086549	-63.1808	HG00282	FIN	EUR	female	0.2606406261868134
HG00284	7300	3254	-0.00893078	-65.1947	HG00284	FIN	EUR	male	-1.1463436545443881
HG00285	7300	3259	-0.00831012	-60.6639	HG00285	FIN	EUR	female	2.01903912470827
HG00288	7300	3262	-0.00878655	-64.1418	HG00288	FIN	EUR	female	-0.4107491616788666
HG00290	7300	3283	-0.00844801	-61.6705	HG00290	FIN	EUR	male	1.3157915071582298
HG00304	7300	3262	-0.00867636	-63.3374	HG00304	FIN	EUR	female	0.15123413213918813
HG00306	7300	3262	-0.00866595	-63.2614	HG00306	FIN	EUR	female	0.2043305149464636
HG00308	7300	3301	-0.00876605	-63.9922	HG00308	FIN	EUR	male	-0.30623312394243624
HG00309	7300	3270	-0.00870615	-63.5549	HG00309	FIN	EUR	female	-0.0007193318158434215
HG00310	7300	3240	-0.00857286	-62.5819	HG00310	FIN	EUR	male	0.6790540954404592
HG00311	7300	3209	-0.00866108	-63.2259	HG00311	FIN	EUR	male	0.22913211481038742
HG00313	7300	3250	-0.0087717	-64.0334	HG00313	FIN	EUR	female	-0.33501695251690883
HG00315	7300	3267	-0.00876904	-64.014	HG00315	FIN	EUR	female	-0.3214634021687328
HG00318	7300	3274	-0.00886426	-64.7091	HG00318	FIN	EUR	female	-0.8070857138705421
HG00319	7300	3241	-0.00851718	-62.1754	HG00319	FIN	EUR	female	0.9630498797977884
HG00320	7300	3258	-0.00901921	-65.8402	HG00320	FIN	EUR	female	-1.5973135900982829
HG00321	7300	3281	-0.00863152	-63.0101	HG00321	FIN	EUR	male	0.37989789651841444
HG00323	7300	3246	-0.00875485	-63.9104	HG00323	FIN	EUR	female	-0.2490846487630311
HG00324	7300	3267	-0.00846426	-61.7891	HG00324	FIN	EUR	female	1.2329332045142447
HG00325	7300	3272	-0.00864077	-63.0776	HG00325	FIN	EUR	male	0.33273992494616667
HG00326	7300	3380	-0.00833397	-60.838	HG00326	FIN	EUR	female	1.897406489882655
HG00327	7300	3291	-0.00848034	-61.9065	HG00327	FIN	EUR	female	1.15091326580932
HG00328	7300	3235	-0.00881782	-64.3701	HG00328	FIN	EUR	female	-0.5702479010854506
HG00329	7300	3264	-0.00855095	-62.4219	HG00329	FIN	EUR	male	0.7908359539820887
HG00330	7300	3269	-0.00853289	-62.2901	HG00330	FIN	EUR	female	0.8829162599557567
HG00331	7300	3291	-0.00873456	-63.7623	HG00331	FIN	EUR	female	-0.1456165659504335
HG00332	7300	3293	-0.00859708	-62.7587	HG00332	FIN	EUR	female	0.5555351417519561
HG00334	7300	3274	-0.00877507	-64.058	HG00334	FIN	EUR	female	-0.35220341326768934
HG00335	7300	3222	-0.00830023	-60.5917	HG00335	FIN	EUR	male	2.069480688375178
HG00336	7300	3213	-0.0086174	-62.907	HG00336	FIN	EUR	male	0.4519273316161818
HG00337	7300	3329	-0.00904678	-66.0415	HG00337	FIN	EUR	female	-1.7379491408759757
HG00338	7300	3239	-0.00867507	-63.328	HG00338	FIN	EUR	male	0.15780131632850858
HG00339	7300	3271	-0.00886022	-64.6796	HG00339	FIN	EUR	female	-0.7864759337019196
HG00341	7300	3299	-0.00875466	-63.909	HG00341	FIN	EUR	male	-0.24810655750078914
HG00342	7300	3228	-0.00854111	-62.3501	HG00342	FIN	EUR	male	0.8409980630026482
HG00343	7300	3241	-0.00867559	-63.3318	HG00343	FIN	EUR	female	0.15514649718814605
HG00344	7300	3264	-0.00912923	-66.6434	HG00344	FIN	EUR	female	-2.1584585199772772
HG00345	7300	3236	-0.00815612	-59.5397	HG00345	FIN	EUR	male	2.804446408286407
HG00346	7300	3268	-0.00890741	-65.0241	HG00346	FIN	EUR	female	-1.027156247874378
HG00349	7300	3297	-0.0089093	-65.0379	HG00349	FIN	EUR	female	-1.0367974331735863
HG00350	7300	3234	-0.00912403	-66.6054	HG00350	FIN	EUR	female	-2.131910328573642
HG00351	7300	3267	-0.00850145	-62.0606	HG00351	FIN	EUR	male	1.043253363301411
HG00353	7300	3254	-0.00860527	-62.8185	HG00353	FIN	EUR	female	0.5137566721220193
HG00355	7300	3295	-0.00889416	-64.9274	HG00355	FIN	EUR	female	-0.9595980871182804
HG00356	7300	3242	-0.00864689	-63.1223	HG00356	FIN	EUR	female	0.30151086821609413
HG00357	7300	3272	-0.00875889	-63.9399	HG00357	FIN	EUR	female	-0.2696944289316436
HG00358	7300	3241	-0.00863619	-63.0442	HG00358	FIN	EUR	male	0.3560743879167325
HG00360	7300	3343	-0.00844045	-61.6153	HG00360	FIN	EUR	male	1.3543562483550922
HG00361	7300	3298	-0.00878801	-64.1525	HG00361	FIN	EUR	female	-0.4182245734688382
HG00362	7300	3254	-0.00867037	-63.2937	HG00362	FIN	EUR	female	0.18176455225337212
HG00364	7300	3315	-0.00884645	-64.5791	HG00364	FIN	EUR	female	-0.7162629538054595
HG00365	7300	3293	-0.00885353	-64.6308	HG00365	FIN	EUR	female	-0.7523824668467219
HG00366	7300	3238	-0.00856197	-62.5024	HG00366	FIN	EUR	male	0.7345957064033297
HG00367	7300	3274	-0.00862763	-62.9817	HG00367	FIN	EUR	female	0.3997391764095575
HG00368	7300	3276	-0.00829916	-60.5839	HG00368	FIN	EUR	female	2.074930053979085
HG00369	7300	3240	-0.00884263	-64.5512	HG00369	FIN	EUR	male	-0.6967709922222607
HG00371	7300	3358	-0.00849175	-61.9898	HG00371	FIN	EUR	male	1.092716835706082
HG00372	7300	3255	-0.00900652	-65.7476	HG00372	FIN	EUR	male	-1.5326198394673203
HG00373	7300	3233	-0.00870341	-63.5349	HG00373	FIN	EUR	female	0.013253400501862739
HG00375	7300	3228	-0.00849384	-62.005	HG00375	FIN	EUR	male	1.082097559144627
HG00376	7300	3248	-0.00875033	-63.8774	HG00376	FIN	EUR	female	-0.22602964043881865
HG00378	7300	3285	-0.00881282	-64.3336	HG00378	FIN	EUR	female	-0.5447476646056482
HG00379	7300	3315	-0.00863515	-63.0366	HG00379	FIN	EUR	female	0.36138402619745763
HG00380	7300	3228	-0.00905519	-66.1029	HG00380	FIN	EUR	female	-1.7808454290913314
HG00381	7300	3328	-0.00874045	-63.8053	HG00381	FIN	EUR	female	-0.17565794043349656
HG00382	7300	3264	-0.0088201	-64.3867	HG00382	FIN	EUR	male	-0.5818452689091527
HG00383	7300	3305	-0.00885626	-64.6507	HG00383	FIN	EUR	female	-0.7662853355028422
HG00384	7300	3211	-0.00894053	-65.2659	HG00384	FIN	EUR	female	-1.1960865815954176
HG00403	7300	3249	-0.00837122	-61.1099	HG00403	CHS	EAS	male	1.707447194023468
HG00404	7300	3252	-0.00814875	-59.4859	HG00404	CHS	EAS	female	2.8420330582210322
HG00406	7300	3200	-0.00823108	-60.0869	HG00406	CHS	EAS	male	2.4221524520740285
HG00407	7300	3250	-0.008359	-61.0207	HG00407	CHS	EAS	female	1.7697655801604313
HG00409	7300	3261	-0.0083281	-60.7951	HG00409	CHS	EAS	male	1.9273780007041321
HG00410	7300	3282	-0.00843407	-61.5687	HG00410	CHS	EAS	female	1.386912714655341
HG00419	7300	3219	-0.00823529	-60.1176	HG00419	CHS	EAS	female	2.400704307966351
HG00421	7300	3212	-0.008189	-59.7797	HG00421	CHS	EAS	male	2.6367736204739627
HG00422	7300	3200	-0.00836938	-61.0965	HG00422	CHS	EAS	female	1.7168089246763325
HG00428	7300	3248	-0.0084807	-61.9091	HG00428	CHS	EAS	female	1.1490968106080177
HG00436	7300	3265	-0.00839497	-61.2833	HG00436	CHS	EAS	male	1.5863036048289787
HG00437	7300	3241	-0.0083891	-61.2404	HG00437	CHS	EAS	female	1.616275115650451
HG00442	7300	3206	-0.00844623	-61.6575	HG00442	CHS	EAS	male	1.3248737831647361
HG00443	7300	3220	-0.00823473	-60.1135	HG00443	CHS	EAS	female	2.403568718091481
HG00445	7300	3280	-0.00832533	-60.7749	HG00445	CHS	EAS	male	1.94149046034501
HG00446	7300	3215	-0.00806079	-58.8438	HG00446	CHS	EAS	female	3.2906276292809182
HG00448	7300	3271	-0.00829362	-60.5434	HG00448	CHS	EAS	male	2.1032248369224367
HG00449	7300	3243	-0.00840553	-61.3604	HG00449	CHS	EAS	female	1.532438721744229
HG00451	7300	3217	-0.00821367	-59.9598	HG00451	CHS	EAS	male	2.5109491659530363
HG00452	7300	3212	-0.00819919	-59.8541	HG00452	CHS	EAS	female	2.584795056252101
HG00457	7300	3215	-0.00825592	-60.2682	HG00457	CHS	EAS	male	2.295489633614042
HG00458	7300	3290	-0.00825078	-60.2307	HG00458	CHS	EAS	female	2.3216885067097377
HG00463	7300	3205	-0.00827174	-60.3837	HG00463	CHS	EAS	male	2.2147971044793033
HG00464	7300	3239	-0.00809181	-59.0702	HG00464	CHS	EAS	female	3.1324562994445104
HG00472	7300	3255	-0.00819396	-59.8159	HG00472	CHS	EAS	male	2.611482974978918
HG00473	7300	3219	-0.00847186	-61.8446	HG00473	CHS	EAS	female	1.1941588723326146
HG00475	7300	3228	-0.00816577	-59.6101	HG00475	CHS	EAS	male	2.7552623905280895
HG00476	7300	3195	-0.00834985	-60.9539	HG00476	CHS	EAS	female	1.816434506101563
HG00478	7300	3224	-0.00888342	-64.849	HG00478	CHS	EAS	male	-0.9048249764328794
HG00479	7300	3221	-0.00841423	-61.4239	HG00479	CHS	EAS	female	1.4880752966355155
HG00500	7300	3267	-0.00814727	-59.4751	HG00500	CHS	EAS	male	2.849578333672595
HG00513	7300	3227	-0.00832947	-60.8051	HG00513	CHS	EAS	female	1.9203916345452767
HG00524	7300	3179	-0.00831653	-60.7107	HG00524	CHS	EAS	male	1.9863429310848395
HG00525	7300	3333	-0.00835164	-60.967	HG00525	CHS	EAS	female	1.807282366433466
HG00530	7300	3233	-0.00841947	-61.4621	HG00530	CHS	EAS	male	1.4613873779087034
HG00531	7300	3229	-0.008372	-61.1156	HG00531	CHS	EAS	female	1.7034649653129241
HG00533	7300	3246	-0.00855222	-62.4312	HG00533	CHS	EAS	male	0.7843386334543591
HG00534	7300	3210	-0.00823993	-60.1515	HG00534	CHS	EAS	female	2.3770205266878457
HG00536	7300	3254	-0.00826195	-60.3122	HG00536	CHS	EAS	male	2.264749622515095
HG00537	7300	3246	-0.00836778	-61.0848	HG00537	CHS	EAS	female	1.7249829730821877
HG00542	7300	3172	-0.00826159	-60.3096	HG00542	CHS	EAS	male	2.2665660777163925
HG00543	7300	3279	-0.00845826	-61.7453	HG00543	CHS	EAS	female	1.2635334882900147
HG00551	7300	3262	-0.00841575	-61.435	HG00551	PUR	AMR	female	1.4803204301991904
HG00553	7300	3200	-0.00817592	-59.6842	HG00553	PUR	AMR	male	2.7034934172910003
HG00554	7300	3178	-0.00832273	-60.7559	HG00554	PUR	AMR	female	1.9547645560468327
HG00556	7300	3252	-0.00845966	-61.7555	HG00556	CHS	EAS	male	1.2564073948079872
HG00557	7300	3231	-0.00834086	-60.8883	HG00557	CHS	EAS	female	1.8622650681036295
HG00559	7300	3249	-0.00819029	-59.7891	HG00559	CHS	EAS	male	2.6302064362846425
HG00560	7300	3242	-0.00837481	-61.1361	HG00560	CHS	EAS	female	1.6891429146872787
HG00565	7300	3233	-0.00813101	-59.3564	HG00565	CHS	EAS	male	2.932506499978166
HG00566	7300	3251	-0.00831793	-60.7209	HG00566	CHS	EAS	female	1.9792168376028123
HG00580	7300	3242	-0.00831279	-60.6834	HG00580	CHS	EAS	male	2.005415710698508
HG00581	7300	3235	-0.00836189	-61.0418	HG00581	CHS	EAS	female	1.7550243475652507
HG00583	7300	3210	-0.00830993	-60.6625	HG00583	CHS	EAS	male	2.020017215970507
HG00584	7300	3235	-0.00823064	-60.0837	HG00584	CHS	EAS	female	2.424388089244861
HG00589	7300	3221	-0.00830603	-60.634	HG00589	CHS	EAS	male	2.0399283595232363
HG00590	7300	3239	-0.00817544	-59.6807	HG00590	CHS	EAS	female	2.705938645446595
HG00592	7300	3219	-0.00830179	-60.6031	HG00592	CHS	EAS	male	2.0615162309540906
HG00593	7300	3248	-0.00864482	-63.1072	HG00593	CHS	EAS	female	0.31206028111596334
HG00595	7300	3193	-0.00830278	-60.6103	HG00595	CHS	EAS	male	2.056486047319714
HG00596	7300	3294	-0.00823997	-60.1518	HG00596	CHS	EAS	female	2.376810935703078
HG00598	7300	3217	-0.00819445	-59.8195	HG00598	CHS	EAS	male	2.608967883161732
HG00599	7300	3207	-0.00826656	-60.3459	HG00599	CHS	EAS	female	2.241205568559762
HG00607	7300	3231	-0.00790575	-57.712	HG00607	CHS	EAS	male	4.081344551139785
HG00608	7300	3226	-0.00829382	-60.5449	HG00608	CHS	EAS	female	2.102176881998609
HG00610	7300	3249	-0.00822203	-60.0208	HG00610	CHS	EAS	male	2.468332332384039
HG00611	7300	3285	-0.00813926	-59.4166	HG00611	CHS	EAS	female	2.8904485757018756
HG00613	7300	3233	-0.00836105	-61.0357	HG00613	CHS	EAS	male	1.759286030922153
HG00614	7300	3265	-0.00812515	-59.3136	HG00614	CHS	EAS	female	2.9624081471380523
HG00619	7300	3247	-0.00812741	-59.3301	HG00619	CHS	EAS	male	2.950880642975946
HG00620	7300	3278	-0.00795881	-58.0993	HG00620	CHS	EAS	female	3.81076258980745
HG00622	7300	3251	-0.00867041	-63.294	HG00622	CHS	EAS	male	0.18155496126860954
HG00623	7300	3226	-0.00833092	-60.8157	HG00623	CHS	EAS	female	1.912986086416896
HG00625	7300	3259	-0.00807132	-58.9206	HG00625	CHS	EAS	male	3.236972337180936
HG00626	7300	3203	-0.00816178	-59.581	HG00626	CHS	EAS	female	2.7755927160503484
HG00628	7300	3254	-0.00817449	-59.6738	HG00628	CHS	EAS	male	2.7107592380962044
HG00629	7300	3268	-0.00819626	-59.8327	HG00629	CHS	EAS	female	2.599745879832044
HG00631	7300	3251	-0.00816599	-59.6117	HG00631	CHS	EAS	male	2.7541445719426756
HG00632	7300	3231	-0.00822549	-60.0461	HG00632	CHS	EAS	female	2.4506568260021426
HG00634	7300	3268	-0.00820468	-59.8942	HG00634	CHS	EAS	male	2.556779727955108
HG00637	7300	3227	-0.00765912	-55.9116	HG00637	PUR	AMR	male	5.339169914379499
HG00638	7300	3204	-0.00842945	-61.535	HG00638	PUR	AMR	female	1.4104567686106746
HG00640	7300	3241	-0.00863237	-63.0163	HG00640	PUR	AMR	male	0.37556634949992634
HG00641	7300	3199	-0.00872775	-63.7126	HG00641	PUR	AMR	female	-0.11089432614093815
HG00650	7300	3251	-0.00833449	-60.8418	HG00650	CHS	EAS	male	1.8947516707422924
HG00651	7300	3212	-0.00858686	-62.6841	HG00651	CHS	EAS	female	0.6076534332969896
HG00653	7300	3275	-0.00837458	-61.1344	HG00653	CHS	EAS	male	1.6903305969342832
HG00654	7300	3254	-0.00830938	-60.6585	HG00654	CHS	EAS	female	2.0228117624340514
HG00656	7300	3195	-0.00832132	-60.7456	HG00656	CHS	EAS	male	1.9619605131904458
HG00657	7300	3238	-0.00829138	-60.5271	HG00657	CHS	EAS	female	2.114612613761366
HG00662	7300	3239	-0.00832553	-60.7764	HG00662	CHS	EAS	male	1.9404425054211822
HG00663	7300	3238	-0.00831242	-60.6807	HG00663	CHS	EAS	female	2.0073020295613966
HG00671	7300	3224	-0.00843227	-61.5556	HG00671	CHS	EAS	male	1.3960648543234382
HG00672	7300	3252	-0.00827181	-60.3842	HG00672	CHS	EAS	female	2.214447786171359
HG00674	7300	3212	-0.00832745	-60.7904	HG00674	CHS	EAS	male	1.9306615927987925
HG00675	7300	3255	-0.00819418	-59.8175	HG00675	CHS	EAS	female	2.6103651563934993
HG00683	7300	3229	-0.0082029	-59.8812	HG00683	CHS	EAS	male	2.5658620039616142
HG00684	7300	3232	-0.00841338	-61.4177	HG00684	CHS	EAS	female	1.4924068436540034
HG00689	7300	3282	-0.00779836	-56.928	HG00689	CHS	EAS	male	4.629075657993785
HG00690	7300	3183	-0.00823656	-60.1269	HG00690	CHS	EAS	female	2.394206987438621
HG00692	7300	3225	-0.0081671	-59.6198	HG00692	CHS	EAS	male	2.7484856153540065
HG00693	7300	3256	-0.00843701	-61.5902	HG00693	CHS	EAS	female	1.3718920274138071
HG00698	7300	3233	-0.00822974	-60.0771	HG00698	CHS	EAS	male	2.4289990909097026
